text,category
I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer?,failed_transfer
"How long do transfers take, mine just says pending?",pending_transfer
Why are my withdrawals suddenly being declined?,declined_cash_withdrawal
"The past few times I've been to the ATM, I was charged a withdrawal fee. Have your policies changed regarding fees?",cash_withdrawal_charge
why top up is not working even if I got my American Express in Apple Bay?,apple_pay_or_google_pay
The ATM didn't give me what I asked for but my balance says it did,wrong_amount_of_cash_received
What's the reason for needing to verify my identity?,why_verify_identity
It seems that the rate I got is incorrect.,card_payment_wrong_exchange_rate
"After reviewing my charges, I see I was charged a fee for a transfer I did, why?",transfer_fee_charged
How can I find your exchange rates?,exchange_rate
Can this card be used at all ATMs?,atm_support
how can i get it to add money automatically while travelling,automatic_top_up
I left my phone somewhere and can't use the app.,lost_or_stolen_phone
I have a disposable card but it does not work?,virtual_card_not_working
I had a payment reverted and would like to figure out why.,reverted_card_payment?
Can I use as many top-ups as I want?,top_up_limits
Why was my ATM withdrawal cancelled?,declined_cash_withdrawal
I'm in China and need a new card. Please help.,card_about_to_expire
What should I do if my physical card isn't working?,card_not_working
Can I track my card while it is in the process of delivery?,card_arrival
"My card was used without my permission, what do I do?",compromised_card
"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",failed_transfer
"I have received my statement but I do not see my refund, why is that?",Refund_not_showing_up
Why are my transfers getting declined?,declined_transfer
I have a transfer that is pending.,pending_transfer
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",extra_charge_on_statement
"My new card isn't in my app, how do I get it in there?",card_linking
What are the guidelines for the disposable cards?,disposable_card_limits
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",extra_charge_on_statement
I didn't set up a direct debit payment on my account.,direct_debit_payment_not_recognised
I've been charged an extra £1 and I don't know why,extra_charge_on_statement
Are top-ups allowed using Apple Pay?,apple_pay_or_google_pay
Can I pay with my card anywhere?,card_acceptance
I just looked over my statement and I don't recognize the name of a card payment.,card_payment_not_recognised
How much do I have to pay if I want to transfer money?,transfer_fee_charged
Where can I find an ATM?,atm_support
"After I got my cash, I found out my exchange rate was wrong.",wrong_exchange_rate_for_cash_withdrawal
How can I change my old pin to a new one?,change_pin
